All|All
Hypothalamic|Hypothalamic hamartoma
Tetraplegia|Tetraplegia
Quadriplegia|Quadriplegia
Astrocytosis|Astrocytosis
Progressive|Progressive encephalopathy
Abnormality|Abnormality of the motor neurons
Limb|Limb dystonia
Abnormality|Abnormality of the globus pallidus
Eye|Eye of the tiger anomaly of globus pallidus
Abnormal|Abnormal head movements
Dysautonomia|Dysautonomia
Autonomic|Autonomic dysfunction
Distal|Distal muscle weakness
Distal|Distal limb muscle weakness
Distal|Distal limb weakness
Distal|Distal muscular weakness
Muscle|Muscle weakness, distal
Muscle|Muscle weakness, distal limbs, due to neuronopathy
Weakness|Weakness of distal muscles
Dense|Dense calcifications in the cerebellar dentate nucleus
Language|Language impairment
Spastic|Spastic dysarthria
Poor|Poor speech
Nonprogressive|Nonprogressive cerebellar ataxia
Small|Small cerebral cortex
Decreased|Decreased volume of cerebral cortex
Expressive|Expressive language delay
Deficit|Deficit in expressive language
Meningomyelocele|Meningomyelocele
Spina|Spina bifida cystica
Primitive|Primitive reflexes (palmomental, snout, glabellar)
Primitive|Primitive reflexes
Progressive|Progressive spastic quadriplegia
Progressive|Progressive spastic quadriparesis
Hepatic|Hepatic encephalopathy
Bulbar|Bulbar signs
Myotonia|Myotonia
Delayed|Delayed relaxation of muscle fibers after contraction
Hyperkinesis|Hyperkinesis
Hyperkinesia|Hyperkinesia
Acute|Acute leukemia
Acute|Acute leukemias
Increased|Increased CSF lactate
Increased|Increased cerebrospinal fluid lactate
Increased|Increased CSF lactic acid
Spasticity|Spasticity of facial muscles
Spasticity|Spasticity of the facial muscles
Abnormality|Abnormality of the corticospinal tract
Corticospinal|Corticospinal tract dysfunction
Abnormal|Abnormal rapid eye movement (REM) sleep
Abnormal|Abnormal rapid eye movement sleep
Impaired|Impaired vibratory sensation
Decreased|Decreased vibration sense
Decreased|Decreased vibratory sense
Diminished|Diminished vibratory sense
Impaired|Impaired vibratory sense
Spastic|Spastic ataxia
Abnormality|Abnormality of the cerebral white matter
Cerebral|Cerebral white matter abnormalities
White|White matter abnormalities
White|White matter alterations
Spasticity|Spasticity of pharyngeal muscles
Spinocerebellar|Spinocerebellar tract degeneration
Degeneration|Degeneration of the spinocerebellar tracts
Spinocerebellar|Spinocerebellar degeneration
Calcification|Calcification of the small brain vessels
Progressive|Progressive inability to walk
Diffuse|Diffuse cerebral atrophy
Cerebral|Cerebral atrophy, diffuse
Semilobar|Semilobar holoprosencephaly
Malformation|Malformation of brainstem structures
Limb|Limb hypertonia
Spastic|Spastic tetraplegia
Spastic|Spastic quadriplegia
Alzheimer|Alzheimer disease
Brain|Brain stem compression
Cerebral|Cerebral calcification
Brain|Brain calcification
Intracerebral|Intracerebral calcifications
Intracranial|Intracranial calcification
Intracranial|Intracranial calcifications
Waddling|Waddling gait
'Waddling'|'Waddling' gait
Increased|Increased intracranial pressure
Abnormality|Abnormality of the periventricular white matter
Hypnagogic|Hypnagogic hallucinations
Hypsarrhythmia|Hypsarrhythmia
Hypsarrhythmia|Hypsarrhythmia by EEG
Areflexia|Areflexia of lower limbs
Absent|Absent lower limb tendon reflexes
Areflexia|Areflexia in lower limbs
Areflexia|Areflexia of the lower limbs
Areflexia,|Areflexia, lower limbs
Cataplexy|Cataplexy
Deficit|Deficit in nonword repetition
Falls|Falls
Granulovacuolar|Granulovacuolar degeneration
Neuronal|Neuronal loss in central nervous system
Neuronal|Neuronal loss
Axial|Axial dystonia
Abnormal|Abnormal posturing
Abnormal|Abnormal cortical gyration
Abnormal|Abnormal gyration
Cerebral|Cerebral gyral anomalies
Abnormality|Abnormality of the cerebral cortex
Cortical|Cortical dysplasia
Neocortical|Neocortical dysplasia
Inability|Inability to walk
Olivopontocerebellar|Olivopontocerebellar atrophy
Olivopontocerebellar|Olivopontocerebellar degeneration
Retrocollis|Retrocollis
Patchy|Patchy demyelination of subcortical white matter
Incomprehensible|Incomprehensible speech
Parkinsonism|Parkinsonism with favorable response to dopaminergic medication
Deficit|Deficit in phonologic short-term memory
Absent|Absent facial hair
Trichodysplasia|Trichodysplasia
Highly|Highly arched eyebrow
Arched|Arched eyebrows
Broad,|Broad, arched eyebrows
High,|High, rounded eyebrows
High-arched|High-arched eyebrows
Thick,|Thick, flared eyebrows
Absent|Absent pubic hair
Hypoplastic|Hypoplastic nipples
Nipple|Nipple hypoplasia
Small|Small nipples
Supernumerary|Supernumerary nipples
Accessory|Accessory nipple
Accessory|Accessory nipples
Supernumerary|Supernumerary nipple
Absent|Absent nipples
Low-set|Low-set nipples
Constrictive|Constrictive pericarditis
Malformation|Malformation of the heart and great vessels
Cardiovascular|Cardiovascular malformations
Congenital|Congenital heart defect
Congenital|Congenital heart defects
Congenital|Congenital heart disease
Intestinal|Intestinal malrotation
Malrotation|Malrotation
Steatorrhea|Steatorrhea
Achalasia|Achalasia
Episodic|Episodic vomiting
Hematochezia|Hematochezia
Bloody|Bloody diarrhea
Rectal|Rectal bleeding
Episodic|Episodic abdominal pain
Tracheoesophageal|Tracheoesophageal fistula
Intussusception|Intussusception
Abnormality|Abnormality of the stomach
Gastroparesis|Gastroparesis
Gastrointestinal|Gastrointestinal dysmotility
Volvulus|Volvulus
Chronic|Chronic atrophic gastritis
Colitis|Colitis
Intestinal|Intestinal bleeding
Abnormality|Abnormality of the peritoneum
Peritonitis|Peritonitis
Inflammation|Inflammation of the peritoneum
Projectile|Projectile vomiting
Duodenal|Duodenal ulcer
Gastrointestinal|Gastrointestinal atresia
Paralytic|Paralytic ileus
Polyphagia|Polyphagia
Hyperphagia|Hyperphagia
Voracious|Voracious appetite
Gastric|Gastric ulcer
Stomach|Stomach ulcer
Intestinal|Intestinal lymphangiectasia
Pancreatic|Pancreatic hypoplasia
Hypoplastic|Hypoplastic pancreas
Ileus|Ileus
Abnormality|Abnormality of the vasculature
Vascular|Vascular abnormalities
Head|Head titubation
Titubation|Titubation
Hyporeflexia|Hyporeflexia of lower limbs
Hyporeflexia|Hyporeflexia in lower limbs
Hyporeflexia|Hyporeflexia of the lower limbs
Hyporeflexia,|Hyporeflexia, lower limbs
Hyporeflexia/areflexia|Hyporeflexia/areflexia in lower limbs
Paresis|Paresis of extensor muscles of the big toe
Gastrointestinal|Gastrointestinal telangiectasia
Hepatic|Hepatic necrosis
Bowel|Bowel incontinence
Anal|Anal incontinence
Encopresis|Encopresis
Fecal|Fecal incontinence
Celiac|Celiac disease
Cholestatic|Cholestatic liver disease
Congenital|Congenital hepatic fibrosis
Biliary|Biliary cirrhosis
Hepatic|Hepatic periportal necrosis
Hypotension|Hypotension
Arterial|Arterial hypotension
Low|Low blood pressure
Aortic|Aortic root dilatation
increased|increased aortic root diameter
Aneurysm|Aneurysm
Varicose|Varicose veins
Atherosclerosis|Atherosclerosis
Dissecting|Dissecting aortic aneurysm
Overriding|Overriding aorta
Dextroposition|Dextroposition of aorta
Venous|Venous abnormality
Deep|Deep venous thrombosis
Deep|Deep vein thrombosis
Multiple|Multiple deep venous thrombosis
Venous|Venous varicosities of celiac and mesenteric vessels
Right|Right aortic arch with mirror image branching
Gastrointestinal|Gastrointestinal arteriovenous malformation
Fat|Fat malabsorption
Ascending|Ascending aortic aneurysm
Low-to-normal|Low-to-normal blood pressure
Vasculitis|Vasculitis
Arteriosclerosis|Arteriosclerosis
Atheromatosis|Atheromatosis
Aneurysm|Aneurysm of an abdominal artery
Cerebral|Cerebral ischemia
Superficial|Superficial thrombophlebitis
Budd-Chiari|Budd-Chiari syndrome
Hypertension|Hypertension associated with pheochromocytoma
Peripheral|Peripheral thrombosis
Arteriovenous|Arteriovenous fistulas of celiac and mesenteric vessels
Neonatal|Neonatal respiratory distress
Infantile|Infantile respiratory distress
Newborn|Newborn respiratory distress
Respiratory|Respiratory distress, neonatal
Abnormality|Abnormality of pelvic girdle bone morphology
Wormian|Wormian bones
Extra|Extra sutural bones
Aortic|Aortic dissection
Abnormality|Abnormality of calvarial morphology
Scoliosis|Scoliosis
Spondyloepimetaphyseal|Spondyloepimetaphyseal dysplasia
Skeletal|Skeletal dysplasia
Bone|Bone pain
Multiple|Multiple epiphyseal dysplasia
Spondyloepiphyseal|Spondyloepiphyseal dysplasia
Spondyloepiphyseal|Spondyloepiphyseal dysplasia tarda
Epiphyseal|Epiphyseal dysplasia
Spondylometaphyseal|Spondylometaphyseal dysplasia
Increased|Increased susceptibility to fractures
Abnormal|Abnormal susceptibility to fractures
Bone|Bone fragility
Increased|Increased bone fragility
Increased|Increased tendency to fractures
Painless|Painless fractures due to injury
Delayed|Delayed epiphyseal ossification
Delayed|Delayed epiphyseal maturation
Delayed|Delayed opacification of the epiphyses
Detailed|Detailed epiphyseal ossification
Epiphyseal|Epiphyseal ossification delay
Neoplasm|Neoplasm
Neoplasia|Neoplasia
Oncological|Oncological abnormality
Oncology|Oncology
Lymphoma|Lymphoma
Pheochromocytoma|Pheochromocytoma
Nephroblastoma|Nephroblastoma (Wilms tumor)
Nephroblastoma|Nephroblastoma
Wilm's|Wilm's tumor
Wilms|Wilms tumor
Paraganglioma|Paraganglioma
Carotid|Carotid body tumors
Chemodectoma|Chemodectoma
Chemodectomas|Chemodectomas
Osteosarcoma|Osteosarcoma
Osteogenic|Osteogenic sarcoma
Basal|Basal cell carcinoma
Basal|Basal cell carcinomas
Basal|Basal cell epithelioma
Basal|Basal cell nevus
Basalioma|Basalioma
Gastrointestinal|Gastrointestinal carcinoma
Coxa|Coxa valga
Cloverleaf|Cloverleaf skull
Kleeblattschaedel|Kleeblattschaedel
Small|Small foramen magnum
Skull|Skull asymmetry
Abnormality|Abnormality of the sella turcica
J-shaped|J-shaped sella turcica
J-shaped|J-shaped sella
Deformed|Deformed sella turcica
Broad|Broad skull
Abnormality|Abnormality of the calvaria
Thickened|Thickened calvaria
Calvarial|Calvarial thickening
Calvarium|Calvarium thickened
Increased|Increased calvarial thickness
Thick|Thick calvaria
Thick|Thick calvarium
Thickened|Thickened calcaria
Thickened|Thickened calvarium
Thickened|Thickened cranial vault
Thickened|Thickened cranium
Thickening|Thickening of the calvaria
Prenatal|Prenatal maternal abnormality
Abnormality|Abnormality of the frontal sinuses
Absent|Absent frontal sinuses
Absence|Absence of frontal sinuses
Absent|Absent frontal sinus
Absent|Absent paranasal sinuses
Large|Large sella turcica
Enlarged|Enlarged sella turcica
Large,|Large, prominent sella turcica
Platybasia|Platybasia
Hypoplastic|Hypoplastic facial bones
Abnormality|Abnormality of the skull base
Sclerosis|Sclerosis of skull base
Marked|Marked sclerosis of skull base
Sclerosis|Sclerosis of the skull base
Sclerotic|Sclerotic of skull base
Symmetrical,|Symmetrical, oval parietal bone defects
Symmetrical,|Symmetrical, oval defects in the parietal bone
Abnormality|Abnormality of the parietal bone
Parietal|Parietal foramina
Abnormality|Abnormality of the foramen magnum
Large|Large foramen magnum
Wide|Wide foramen magnum
Abnormality|Abnormality of skull ossification
High,|High, narrow palate
Palate|Palate telangiectasia
Palate|Palate telangiectases
Palate|Palate teleangiectases
Prominent|Prominent median palatal raphe
Commissural|Commissural lip pit
Commissural|Commissural pit
Exaggerated|Exaggerated median tongue furrow
Downturned|Downturned corners of mouth
Downturned|Downturned corners of the mouth
Downturned|Downturned mouth
Abnormality|Abnormality of the immune system
Immunological|Immunological abnormality
Lymphadenopathy|Lymphadenopathy
Lymph|Lymph node hyperplasia
Adrenal|Adrenal overactivity
Recurrent|Recurrent bacterial infections
Bacterial|Bacterial infections, recurrent
Frequent|Frequent bacterial infections
Frequent|Frequent pyogenic infections
Increased|Increased susceptibility to bacterial infections
Recurrent|Recurrent major bacterial infections
Recurrent|Recurrent pyogenic infections
Susceptibility|Susceptibility to pyogenic infection
Recurrent|Recurrent infections
Frequent|Frequent infections
Frequent,|Frequent, severe infections
Increased|Increased frequency of infection
infections,|infections, recurrent
Predisposition|Predisposition to infections
Susceptibility|Susceptibility to infection
IgA|IgA deficiency
Decreased|Decreased IgA
Decreased|Decreased immunoglobulin A
Gamma-A|Gamma-A globulin deficiency
Low|Low levels of immunoglobulin A
Reduced|Reduced IgA levels
Immunodeficiency|Immunodeficiency
Immune|Immune deficiency
Recurrent|Recurrent abscess formation
Absence|Absence of bactericidal oxidative 'respiratory burst' in phagocytes
Recurrent|Recurrent Aspergillus infections
Aspergillus|Aspergillus infections, recurrent
Systemic|Systemic lupus erythematosus
Recurrent|Recurrent Staphylococcus aureus infections
Staphylococcus|Staphylococcus aureus infections, recurrent
Chronic|Chronic mucocutaneous candidiasis
Chronic|Chronic candidiasis of mucosa, skin and nails
Mucocutaneous|Mucocutaneous candidiasis
Follicular|Follicular hyperplasia
Chronic|Chronic noninfectious lymphadenopathy
Defective|Defective lymphocyte apoptosis
Lymph|Lymph node hypoplasia
Abnormality|Abnormality of the lymph nodes
Abnormal|Abnormal lymph node histology
Thick|Thick skull base
Hypoplastic|Hypoplastic frontal sinuses
Underdeveloped|Underdeveloped frontal sinuses
Recurrent|Recurrent E. coli infections
E|E coli infections
E|E coli infections, recurrent
Recurrent|Recurrent Serratia marcescens infections
Recurrent|Recurrent Klebsiella infections
Klebsiella|Klebsiella infections, recurrent
Recurrent|Recurrent enteroviral infections
Bilateral|Bilateral cleft lip and palate
Bilateral|Bilateral cleft lip and cleft palate
Oral|Oral leukoplakia
leukokeratosis|leukokeratosis
Respiratory|Respiratory insufficiency due to muscle weakness
Decreased|Decreased respiratory function due to muscle weakness
Respiratory|Respiratory distress due to muscle weakness
Respiratory|Respiratory failure due to muscle weakness
Respiratory|Respiratory muscle weakness
Rickets|Rickets
Osteomalacia|Osteomalacia
Delayed|Delayed skeletal maturation
Delayed|Delayed bone age
Delayed|Delayed bone age before puberty
Delayed|Delayed bone maturation
Delayed|Delayed skeletal development
Retarded|Retarded bone age
Skeletal|Skeletal maturation retardation
Kyphoscoliosis|Kyphoscoliosis
Sparse|Sparse bone trabeculae
Thin|Thin bony cortex
Thin|Thin cortices
Osteomyelitis|Osteomyelitis
Osteomyelitis|Osteomyelitis due to immunodeficiency
Pathologic|Pathologic fracture
Spontaneous|Spontaneous fracture
Recurrent|Recurrent fractures
Increased|Increased fracture rate
Increased|Increased fractures
Multiple|Multiple fractures
Multiple|Multiple spontaneous fractures
Varying|Varying degree of multiple fractures
Osteoarthritis|Osteoarthritis
Generalized|Generalized joint laxity
Multiple|Multiple exostoses
Abnormal|Abnormal cartilage morphology
Stippled|Stippled chondral calcification
Relatively|Relatively short spine
Small|Small vertebral bodies
Small|Small vertebrae
Tracheal|Tracheal stenosis
Abnormality|Abnormality of the trachea
Tracheomalacia|Tracheomalacia
Bronchomalacia|Bronchomalacia
Upper|Upper airway obstruction
Recurrent|Recurrent lower respiratory tract infections
Chronic|Chronic lung infections
Lower|Lower respiratory tract infections
Recurrent|Recurrent chest infections
Tracheobronchomalacia|Tracheobronchomalacia
Tracheal|Tracheal ectopic calcification
Tracheal|Tracheal calcifications
Recurrent|Recurrent upper respiratory tract infections
Frequent|Frequent upper respiratory infections
Frequent|Frequent upper respiratory tract infections
Recurrent|Recurrent upper respiratory and lower respiratory infections
Recurrent|Recurrent upper respiratory infection
Recurrent|Recurrent upper respiratory infections
Upper|Upper respiratory tract infections
Upper|Upper respiratory tract infections, recurrent
Tachypnea|Tachypnea
Increased|Increased respiratory rate or depth of breathing
Polypnea|Polypnea
Neonatal|Neonatal breathing dysregulation
Hypoventilation|Hypoventilation
Alveolar|Alveolar hypoventilation
Reduced|Reduced vital capacity
Decreased|Decreased vital capacity
Abnormal|Abnormal pattern of respiration
Abnormal|Abnormal respiratory patterns
Functional|Functional respiratory abnormality
Osteolysis|Osteolysis
Increased|Increased bone resorption
Osteolytic|Osteolytic defects of bones
Congenital|Congenital contractures
Congenital|Congenital joint contractures
Arthrogryposis|Arthrogryposis multiplex congenita
Arthrogryposis|Arthrogryposis
Arthrogryposis|Arthrogryposis multiplex
Arthrogryposis,|Arthrogryposis, congenital
Multiple|Multiple congenital contractures
Accelerated|Accelerated bone age after puberty
Kyphosis|Kyphosis
Gibbus|Gibbus deformity
Hyperkyphosis|Hyperkyphosis
Round|Round back
Dumbbell-shaped|Dumbbell-shaped metaphyses
Dumbbell|Dumbbell shaped metaphyses
Coxa|Coxa vara
Abnormality|Abnormality of limb bone morphology
Limb|Limb abnormality
Abnormality|Abnormality of the lower limb
Lower|Lower limb deformities
Abnormality|Abnormality of the knees
Genu|Genu recurvatum
Genu|Genu recurvata
Abnormality|Abnormality of the upper limb
Abnormality|Abnormality of the radius
Neuropathic|Neuropathic arthropathy
Hyperplasia|Hyperplasia of the femoral trochanters
Hyperplastic|Hyperplastic femoral trochanters
Abnormality|Abnormality of the femur
Abnormality|Abnormality of the femora
Caudal|Caudal appendage
Coccygeal|Coccygeal tail
Halberd-shaped|Halberd-shaped pelvis
Hip|Hip dislocation
Dislocated|Dislocated hips
Dislocation|Dislocation of hip
Hip|Hip subluxation
Multiple|Multiple joint contractures
Arthralgia|Arthralgia
Arthralgias|Arthralgias
Joint|Joint pain
Long|Long coccyx
Calcific|Calcific stippling
Discrete|Discrete calcific stippling
Cystic|Cystic angiomatosis of bone
Lytic|Lytic cystic lesions in appendicular bones
Flared|Flared femoral metaphysis
Aspiration|Aspiration
Bladder|Bladder exstrophy
Recurrent|Recurrent bronchitis
Bronchitis,|Bronchitis, recurrent
Urinary|Urinary bladder sphincter dysfunction
Sphincter|Sphincter disturbance
Sphincter|Sphincter disturbances
Lymphadenitis|Lymphadenitis
Recurrent|Recurrent fungal infections
Recurrent|Recurrent Burkholderia cepacia infections
Abnormality|Abnormality of T cells
Cellular|Cellular immune defect
Defective|Defective cellular immunity
Increased|Increased number of peripheral CD3+ T cells
Abnormality|Abnormality of B cells
Impaired|Impaired memory B-cell generation
Moderately|Moderately depressed antibody response to polysaccharide antigens
Absence|Absence of lymph node germinal center
Lymph|Lymph nodes lack germinal center
Lymphoid|Lymphoid germinal center defect
IgM|IgM deficiency
Decreased|Decreased IgM
Decreased|Decreased IgM level
Reduced|Reduced IgM levels
Increased|Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors
Increased|Increased proportion of HLA DR+ and CD57+ T cells
Genu|Genu valgum
Genu|Genu valga
genu|genu valgum or genu varum
Genu|Genu valgus
Genua|Genua valga
Knock|Knock knees
Meningioma|Meningioma
Meligioma|Meligioma
Mengioma|Mengioma
Mengiomia|Mengiomia
Menigiom|Menigiom
Menigioma|Menigioma
Rhabdomyosarcoma|Rhabdomyosarcoma
Squamous|Squamous cell carcinoma
Melanoma|Melanoma
Malignant|Malignant melanoma
Bladder|Bladder carcinoma
Myelodysplasia|Myelodysplasia
Myelodysplastic|Myelodysplastic syndrome
Paraganglioma|Paraganglioma of head and neck
Paragangliomas,|Paragangliomas, head and neck 
Medullary|Medullary thyroid carcinoma
Hypoplastic|Hypoplastic iliac wings
Hypoplastic|Hypoplastic iliac alae
Hypoplastic|Hypoplastic iliac wing
Small|Small iliac wings
Abnormality|Abnormality of the ilium
Iliac|Iliac abnormalities
Narrow|Narrow iliac wings
Flared|Flared iliac wings
Flared|Flared iliac wing
Obstructive|Obstructive sleep apnea
Central|Central apnea
Central|Central apnoea
Apneic|Apneic episodes precipitated by illness, fatigue, stress
Episodic|Episodic ataxia induced by febrile illness or stress
Exertional|Exertional dyspnea
Episodic|Episodic tachypnea
Hyperpnea,|Hyperpnea, episodic
Nocturnal|Nocturnal hypoventilation
Early|Early respiratory failure
Anisospondyly|Anisospondyly
Respiratory|Respiratory difficulties
Sudden|Sudden episodic apnea
Hyperventilation|Hyperventilation
Hepatoblastoma|Hepatoblastoma
Medulloblastoma|Medulloblastoma
Vagal|Vagal paraganglioma
Vagal|Vagal nerve tumors
Vagal|Vagal nerve tumors (glomus vagale)
Ependymoma|Ependymoma
Thyroid|Thyroid carcinoma
Uterine|Uterine leiomyosarcoma
Pituitary|Pituitary adenoma
Neoplasm|Neoplasm of the pancreas
Cancer|Cancer of the pancreas
Neoplasia|Neoplasia of the pancreas
Pancreatic|Pancreatic cancer
Papillary|Papillary thyroid carcinoma
Papillary|Papillary carcinoma of thyroid
Thyroid|Thyroid papillary carcinoma
Neoplasm|Neoplasm of the liver
Liver|Liver cancer
Parathyroid|Parathyroid adenoma
Parathyroid|Parathyroid adenomas
Embryonal|Embryonal neoplasm
Embryonal|Embryonal neoplasia
Embryonal|Embryonal tumors
Hypokalemia|Hypokalemia
Hypocalcemia|Hypocalcemia
Hypocalcaemia|Hypocalcaemia
Hyponatremia|Hyponatremia
Hyperbilirubinemia|Hyperbilirubinemia
Hyperphosphatemia|Hyperphosphatemia
Microhematuria|Microhematuria
Microscopic|Microscopic hematuria
Conjugated|Conjugated hyperbilirubinemia
Direct|Direct hyperbilirubinemia
Generalized|Generalized aminoaciduria
Generalized|Generalized nonspecific aminoaciduria
Elevated|Elevated hepatic transaminases
Abnormal|Abnormal liver enzymes
Abnormal|Abnormal liver function
Abnormal|Abnormal liver function tests
Elevated|Elevated liver enzymes
Elevated|Elevated serum transaminases
Elevated|Elevated transaminases
Increased|Increased liver enzymes
Increased|Increased liver function tests
Increased|Increased transaminases
Subclinical|Subclinical abnormal liver function tests
Methylmalonic|Methylmalonic acidemia
Myoglobinuria|Myoglobinuria
Increased|Increased urinary chloride
Abnormality|Abnormality of chromosome segregation
Hypomagnesemia|Hypomagnesemia
Hypermagnesemia|Hypermagnesemia
Ketonuria|Ketonuria
Ketonaciduria|Ketonaciduria
Decreased|Decreased circulating ACTH level
Abnormality|Abnormality of the cerebrospinal fluid
Abnormal|Abnormal CSF findings
Abnormality|Abnormality of the CSF
Increased|Increased CSF protein
Cerebrospinal|Cerebrospinal fluid protein increased
Cerebrospinal|Cerebrospinal fluid with increased protein
Elevated|Elevated cerebrospinal fluid protein
Elevated|Elevated csf protein
Increased|Increased protein in csf
Spinal|Spinal fluid protein elevated
Rheumatoid|Rheumatoid factor positive
Decreased|Decreased circulating aldosterone level
Decreased|Decreased aldosterone
Decreased|Decreased serum aldosterone
Thyroid-stimulating|Thyroid-stimulating hormone excess
Elevated|Elevated thyroid stimulating hormone
Elevated|Elevated thyroid stimulating hormone levels
High|High TSH
Increased|Increased serum thyroid-stimulating hormone
Increased|Increased thyroid-stimulating hormone
TSH|TSH excess
Abnormality|Abnormality of thyroid physiology
Histidinuria|Histidinuria
Decreased|Decreased activity of the pyruvate dehydrogenase (PDH) complex
Pyruvate|Pyruvate dehydrogenase complex deficiency
Leydig|Leydig cell insensitivity to gonadotropin
Thyroid|Thyroid hormone receptor defect
End-organ|End-organ unresponsiveness to thyroid hormone
Resistance|Resistance to thyroid hormone
Thyroid|Thyroid hormone resistance
Aldehyde|Aldehyde oxidase deficiency
Ventral|Ventral hernia
Distal|Distal sensory impairment
Decreased|Decreased distal sensation
Distal|Distal sensation loss
Distal|Distal sensory impairment in lower limbs
Distal|Distal sensory impairment of the lower extremities
Distal|Distal sensory loss
Distal|Distal sensory loss, upper and lower limbs
Loss|Loss of distal sensation
Hemivertebrae|Hemivertebrae
Hemivertebra|Hemivertebra
Lumbar|Lumbar hyperlordosis
Exaggerated|Exaggerated lumbar lordosis
Increased|Increased lumbar lordosis
Lumbar|Lumbar lordosis
Prominent|Prominent lumbar lordosis
Thoracic|Thoracic kyphosis
Accentuated|Accentuated thoracic kyphosis
Exaggerated|Exaggerated thoracic kyphosis
Thoracic|Thoracic scoliosis
Thoracolumbar|Thoracolumbar scoliosis
Scoliosis,|Scoliosis, thoracolumbar
Intervertebral|Intervertebral space narrowing
Narrow|Narrow intervertebral disc spaces
Narrow|Narrow intervertebral spaces
Supernumerary|Supernumerary vertebrae
Cervical|Cervical kyphosis
Vertebral|Vertebral fusion
Fused|Fused vertebrae
Fusion|Fusion of vertebral bodies
Spinal|Spinal fusion
Vertebral|Vertebral body fusion
Fused|Fused cervical vertebrae
Cervical|Cervical vertebral fusion
Fusion|Fusion of cervical vertebrae
Partial|Partial absence of cerebellar vermis
Vertebral|Vertebral compression fractures
Fractures|Fractures of vertebral bodies
Vertebral|Vertebral body compression
Vertebral|Vertebral collapse
Vertebral|Vertebral compression
Vertebral|Vertebral compression or collapse
Granulomatosis|Granulomatosis
Immune|Immune dysregulation
Impaired|Impaired Ig class switch recombination
Impaired|Impaired B-lymphocyte isotype switching
Impaired|Impaired Ig class-switch recombination (CSR)
Autoimmunity|Autoimmunity
Autoimmune|Autoimmune disease
Autoimmune|Autoimmune disorders
Dysgammaglobulinemia|Dysgammaglobulinemia
Abnormal|Abnormal delayed hypersensitivity skin test
Cutaneous|Cutaneous anergy
Absence|Absence of delayed hypersensitivity skin test
Lack|Lack of delayed skin hypersensitivity reaction
Cubitus|Cubitus valgus
Genu|Genu varum
Bow|Bow legs
Bow-leggedness|Bow-leggedness
Genu|Genu vara
Genua|Genua vara
Absent|Absent microvilli on the surface of peripheral blood lymphocytes
Reduced|Reduced delayed hypersensitivity
Decreased|Decreased reactivity to skin test antigens
Deficiency|Deficiency of delayed skin hypersensitivity
Impaired|Impaired delayed hypersensitivity
Abnormality|Abnormality of the forearm
Radioulnar|Radioulnar synostosis
Fused|Fused forearm bones
Aplasia/Hypoplasia|Aplasia/Hypoplasia involving the central nervous system
Bowing|Bowing of the legs
Bowed|Bowed legs
Bowed|Bowed lower limbs
Femoral|Femoral bowing
Abnormality|Abnormality of the calf
Tibial|Tibial bowing
Bowed|Bowed tibia
Bowing|Bowing of the tibia
Micromelia|Micromelia
Hypoplasia|Hypoplasia of the radius
Hypoplastic|Hypoplastic radii
Hypoplastic|Hypoplastic radius
Radial|Radial hypoplasia
Short|Short radii
Short|Short radius
Shortening|Shortening of radius
Radial|Radial bowing
Bowed|Bowed radii
Bowed|Bowed radius
Elbow|Elbow flexion contracture
Contractures|Contractures of elbows
Contractures|Contractures of the elbows
Elbow|Elbow contracture
Elbow|Elbow contractures
Elbow|Elbow flexion contractures
Elbow|Elbow flexion deformity
Fibular|Fibular aplasia
Absent|Absent fibulae
Absent-hypoplastic|Absent-hypoplastic fibulae
Abnormality|Abnormality of the fibula
Abnormality|Abnormality of the tibia
Limited|Limited elbow movement
Decreased|Decreased elbow mobility
Limited|Limited elbow mobility
Restricted|Restricted elbow motion
Abnormality|Abnormality of the ulna
Patellar|Patellar dislocation
Dislocated|Dislocated patellae
Dislocation|Dislocation of patella
Glomus|Glomus jugular tumor
Glomus|Glomus jugulare tumor
Glomus|Glomus jugulare tumors
Breast|Breast carcinoma
Breast|Breast cancer
Colon|Colon cancer
Ganglioneuroma|Ganglioneuroma
Neuroblastoma|Neuroblastoma
Enhanced|Enhanced neurotoxicity of vincristine
Prolonged|Prolonged bleeding time
Increased|Increased bleeding time
Abnormality|Abnormality of the musculature
Muscular|Muscular abnormality
Bulging|Bulging epiphyses
Flared|Flared metaphyses
Flared,|Flared, widened metaphyses
marked|marked metaphyseal flaring of long bones
Metaphyseal|Metaphyseal flaring
Metaphyseal|Metaphyseal flaring of long bones
Metaphyseal|Metaphyseal splaying
Splayed|Splayed metaphyses
Metaphyseal|Metaphyseal widening
Wide|Wide metaphyses
Widened|Widened long bone metaphyses
Widened|Widened metaphyses
Frayed,|Frayed, irregular metaphyses
Frayed,|Frayed, irregular, metaphyses
Abnormality|Abnormality of the wrist
Abnormalities|Abnormalities of the wrists
Enlargement|Enlargement of the wrists
Metaphyseal|Metaphyseal cupping
Hypoplasia|Hypoplasia of the ulna
Hypoplastic|Hypoplastic ulna
Short|Short ulna
Short|Short ulnae
Ulnar|Ulnar hypoplasia
Bowing|Bowing of limbs due to multiple fractures
Bowed|Bowed limbs due to multiple fractures
Irregular|Irregular metaphyses
Metaphyseal|Metaphyseal irregularities
Metaphyseal|Metaphyseal irregularity
Short|Short long bones
Long|Long bone shortening
Short|Short tubular bones
Short,|Short, tubular long bones
shortened|shortened long tubular bones
